frame,z[nm]
1,-750
2,-740
3,-730
4,-720
5,-710
6,-700
7,-690
8,-680
9,-670
10,-660
11,-650
12,-640
13,-630
14,-620
15,-610
16,-600
17,-590
18,-580
19,-570
20,-560
21,-550
22,-540
23,-530
24,-520
25,-510
26,-500
27,-490
28,-480
29,-470
30,-460
31,-450
32,-440
33,-430
34,-420
35,-410
36,-400
37,-390
38,-380
39,-370
40,-360
41,-350
42,-340
43,-330
44,-320
45,-310
46,-300
47,-290
48,-280
49,-270
50,-260
51,-250
52,-240
53,-230
54,-220
55,-210
56,-200
57,-190
58,-180
59,-170
60,-160
61,-150
62,-140
63,-130
64,-120
65,-110
66,-100
67,-90
68,-80
69,-70
70,-60
71,-50
72,-40
73,-30
74,-20
75,-10
76,0
77,10
78,20
79,30
80,40
81,50
82,60
83,70
84,80
85,90
86,100
87,110
88,120
89,130
90,140
91,150
92,160
93,170
94,180
95,190
96,200
97,210
98,220
99,230
100,240
101,250
102,260
103,270
104,280
105,290
106,300
107,310
108,320
109,330
110,340
111,350
112,360
113,370
114,380
115,390
116,400
117,410
118,420
119,430
120,440
121,450
122,460
123,470
124,480
125,490
126,500
127,510
128,520
129,530
130,540
131,550
132,560
133,570
134,580
135,590
136,600
137,610
138,620
139,630
140,640
141,650
142,660
143,670
144,680
145,690
146,700
147,710
148,720
149,730
150,740
151,750
1,-750
2,-740
3,-730
4,-720
5,-710
6,-700
7,-690
8,-680
9,-670
10,-660
11,-650
12,-640
13,-630
14,-620
15,-610
16,-600
17,-590
18,-580
19,-570
20,-560
21,-550
22,-540
23,-530
24,-520
25,-510
26,-500
27,-490
28,-480
29,-470
30,-460
31,-450
32,-440
33,-430
34,-420
35,-410
36,-400
37,-390
38,-380
39,-370
40,-360
41,-350
42,-340
43,-330
44,-320
45,-310
46,-300
47,-290
48,-280
49,-270
50,-260
51,-250
52,-240
53,-230
54,-220
55,-210
56,-200
57,-190
58,-180
59,-170
60,-160
61,-150
62,-140
63,-130
64,-120
65,-110
66,-100
67,-90
68,-80
69,-70
70,-60
71,-50
72,-40
73,-30
74,-20
75,-10
76,0
77,10
78,20
79,30
80,40
81,50
82,60
83,70
84,80
85,90
86,100
87,110
88,120
89,130
90,140
91,150
92,160
93,170
94,180
95,190
96,200
97,210
98,220
99,230
100,240
101,250
102,260
103,270
104,280
105,290
106,300
107,310
108,320
109,330
110,340
111,350
112,360
113,370
114,380
115,390
116,400
117,410
118,420
119,430
120,440
121,450
122,460
123,470
124,480
125,490
126,500
127,510
128,520
129,530
130,540
131,550
132,560
133,570
134,580
135,590
136,600
137,610
138,620
139,630
140,640
141,650
142,660
143,670
144,680
145,690
146,700
147,710
148,720
149,730
150,740
151,750
1,-750
2,-740
3,-730
4,-720
5,-710
6,-700
7,-690
8,-680
9,-670
10,-660
11,-650
12,-640
13,-630
14,-620
15,-610
16,-600
17,-590
18,-580
19,-570
20,-560
21,-550
22,-540
23,-530
24,-520
25,-510
26,-500
27,-490
28,-480
29,-470
30,-460
31,-450
32,-440
33,-430
34,-420
35,-410
36,-400
37,-390
38,-380
39,-370
40,-360
41,-350
42,-340
43,-330
44,-320
45,-310
46,-300
47,-290
48,-280
49,-270
50,-260
51,-250
52,-240
53,-230
54,-220
55,-210
56,-200
57,-190
58,-180
59,-170
60,-160
61,-150
62,-140
63,-130
64,-120
65,-110
66,-100
67,-90
68,-80
69,-70
70,-60
71,-50
72,-40
73,-30
74,-20
75,-10
76,0
77,10
78,20
79,30
80,40
81,50
82,60
83,70
84,80
85,90
86,100
87,110
88,120
89,130
90,140
91,150
92,160
93,170
94,180
95,190
96,200
97,210
98,220
99,230
100,240
101,250
102,260
103,270
104,280
105,290
106,300
107,310
108,320
109,330
110,340
111,350
112,360
113,370
114,380
115,390
116,400
117,410
118,420
119,430
120,440
121,450
122,460
123,470
124,480
125,490
126,500
127,510
128,520
129,530
130,540
131,550
132,560
133,570
134,580
135,590
136,600
137,610
138,620
139,630
140,640
141,650
142,660
143,670
144,680
145,690
146,700
147,710
148,720
149,730
150,740
151,750
1,-750
2,-740
3,-730
4,-720
5,-710
6,-700
7,-690
8,-680
9,-670
10,-660
11,-650
12,-640
13,-630
14,-620
15,-610
16,-600
17,-590
18,-580
19,-570
20,-560
21,-550
22,-540
23,-530
24,-520
25,-510
26,-500
27,-490
28,-480
29,-470
30,-460
31,-450
32,-440
33,-430
34,-420
35,-410
36,-400
37,-390
38,-380
39,-370
40,-360
41,-350
42,-340
43,-330
44,-320
45,-310
46,-300
47,-290
48,-280
49,-270
50,-260
51,-250
52,-240
53,-230
54,-220
55,-210
56,-200
57,-190
58,-180
59,-170
60,-160
61,-150
62,-140
63,-130
64,-120
65,-110
66,-100
67,-90
68,-80
69,-70
70,-60
71,-50
72,-40
73,-30
74,-20
75,-10
76,0
77,10
78,20
79,30
80,40
81,50
82,60
83,70
84,80
85,90
86,100
87,110
88,120
89,130
90,140
91,150
92,160
93,170
94,180
95,190
96,200
97,210
98,220
99,230
100,240
101,250
102,260
103,270
104,280
105,290
106,300
107,310
108,320
109,330
110,340
111,350
112,360
113,370
114,380
115,390
116,400
117,410
118,420
119,430
120,440
121,450
122,460
123,470
124,480
125,490
126,500
127,510
128,520
129,530
130,540
131,550
132,560
133,570
134,580
135,590
136,600
137,610
138,620
139,630
140,640
141,650
142,660
143,670
144,680
145,690
146,700
147,710
148,720
149,730
150,740
151,750
1,-750
2,-740
3,-730
4,-720
5,-710
6,-700
7,-690
8,-680
9,-670
10,-660
11,-650
12,-640
13,-630
14,-620
15,-610
16,-600
17,-590
18,-580
19,-570
20,-560
21,-550
22,-540
23,-530
24,-520
25,-510
26,-500
27,-490
28,-480
29,-470
30,-460
31,-450
32,-440
33,-430
34,-420
35,-410
36,-400
37,-390
38,-380
39,-370
40,-360
41,-350
42,-340
43,-330
44,-320
45,-310
46,-300
47,-290
48,-280
49,-270
50,-260
51,-250
52,-240
53,-230
54,-220
55,-210
56,-200
57,-190
58,-180
59,-170
60,-160
61,-150
62,-140
63,-130
64,-120
65,-110
66,-100
67,-90
68,-80
69,-70
70,-60
71,-50
72,-40
73,-30
74,-20
75,-10
76,0
77,10
78,20
79,30
80,40
81,50
82,60
83,70
84,80
85,90
86,100
87,110
88,120
89,130
90,140
91,150
92,160
93,170
94,180
95,190
96,200
97,210
98,220
99,230
100,240
101,250
102,260
103,270
104,280
105,290
106,300
107,310
108,320
109,330
110,340
111,350
112,360
113,370
114,380
115,390
116,400
117,410
118,420
119,430
120,440
121,450
122,460
123,470
124,480
125,490
126,500
127,510
128,520
129,530
130,540
131,550
132,560
133,570
134,580
135,590
136,600
137,610
138,620
139,630
140,640
141,650
142,660
143,670
144,680
145,690
146,700
147,710
148,720
149,730
150,740
151,750
1,-750
2,-740
3,-730
4,-720
5,-710
6,-700
7,-690
8,-680
9,-670
10,-660
11,-650
12,-640
13,-630
14,-620
15,-610
16,-600
17,-590
18,-580
19,-570
20,-560
21,-550
22,-540
23,-530
24,-520
25,-510
26,-500
27,-490
28,-480
29,-470
30,-460
31,-450
32,-440
33,-430
34,-420
35,-410
36,-400
37,-390
38,-380
39,-370
40,-360
41,-350
42,-340
43,-330
44,-320
45,-310
46,-300
47,-290
48,-280
49,-270
50,-260
51,-250
52,-240
53,-230
54,-220
55,-210
56,-200
57,-190
58,-180
59,-170
60,-160
61,-150
62,-140
63,-130
64,-120
65,-110
66,-100
67,-90
68,-80
69,-70
70,-60
71,-50
72,-40
73,-30
74,-20
75,-10
76,0
77,10
78,20
79,30
80,40
81,50
82,60
83,70
84,80
85,90
86,100
87,110
88,120
89,130
90,140
91,150
92,160
93,170
94,180
95,190
96,200
97,210
98,220
99,230
100,240
101,250
102,260
103,270
104,280
105,290
106,300
107,310
108,320
109,330
110,340
111,350
112,360
113,370
114,380
115,390
116,400
117,410
118,420
119,430
120,440
121,450
122,460
123,470
124,480
125,490
126,500
127,510
128,520
129,530
130,540
131,550
132,560
133,570
134,580
135,590
136,600
137,610
138,620
139,630
140,640
141,650
142,660
143,670
144,680
145,690
146,700
147,710
148,720
149,730
150,740
151,750
